Name,Online_Name,Description,Short_Code,Short_Code_2,Sap_Code,HSN_Code,Parent_Category,Category,Category_online_display,Price,Attributes,Active_in_All_Areas,Goods_Services,Rank,Packing_Charges,Allow_Decimal_Qty,Addon_Group_Name,Addon_Group_Selection,Addon_Group_Min,Addon_Group_Max,Variation_group_name,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges
"Biscoff Brownie","Biscoff Brownie","Indulge in a decadent treat where rich chocolate meets the irresistible crunch of caramelized biscuit, creating a heavenly dessert experience.",76,,,,,Dessert,Dessert,130,veg,No,services,1,10,Yes,,,,
"Hazelnut Brownie","Hazelnut Brownie","Indulge in a rich, fudgy delight with a nutty crunch that melts in your mouth and satisfies every sweet craving.",77,,,,,Dessert,Dessert,130,veg,No,services,1,10,Yes,,,,
"Plain Cheese Cake","Plain Cheese Cake",,79,,,,,Dessert,Dessert,180,veg,No,services,1,10,Yes,,,,
"Blueberry Cheese Cake","Blueberry Cheese Cake","Indulge in a creamy, luscious treat that balances sweet and tangy flavours, topped with a vibrant burst of Blue berries.",80,,,,,Dessert,Dessert,200,veg,No,services,1,10,Yes,,,,
"Hazelnut Cheese Cake","Hazelnut Cheese Cake",,81,,,,,Dessert,Dessert,200,veg,No,services,1,10,Yes,,,,
"Biscoff Cheesecake","Biscoff Cheesecake",,82,,,,,Dessert,Dessert,200,veg,No,services,1,10,Yes,,,,
"Mango Cheese Cake","Mango Cheese Cake",,83,,,,,Dessert,Dessert,200,veg,No,services,1,10,Yes,,,,
Tiramisu,Tiramisu,,84,,,,,Dessert,Dessert,180,veg,No,services,1,10,Yes,,,,
"Mango Tiramisu","Mango Tiramisu",,85,,,,,Dessert,Dessert,180,veg,No,services,1,10,Yes,,,,
"Biscoff Tub","Biscoff Tub",,86,,,,,Dessert,Dessert,160,veg,No,services,1,10,Yes,,,,
"Kunafa Pistachio Chocolate","Kunafa Pistachio Chocolate",,87,,,,,Dessert,Dessert,160,veg,No,services,1,10,Yes,,,,
"Vanilla Muffins","Vanilla Muffins",,88,,,,,Dessert,Dessert,70,veg,No,services,1,5,Yes,,,,
"Chocolate Muffins","Chocolate Muffins",,89,,,,,Dessert,Dessert,80,veg,No,services,1,5,Yes,,,,
"Blueberry Muffins","Blueberry Muffins",,90,,,,,Dessert,Dessert,80,veg,No,services,1,5,Yes,,,,
"Assorted Brownies","Assorted Brownies",,91,,,,,Dessert,Dessert,275,veg,No,services,1,10,Yes,,,,
"Mix Veg Puff","Mix Veg Puff",,1,,,,,Savoury,Savoury,40,veg,No,services,1,0,Yes,,,,
"Cajun Paneer Puff","Cajun Paneer Puff",,2,,,,,Savoury,Savoury,50,veg,No,services,1,5,Yes,,,,
